Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1605001368,2020-11-10T09:42:48Z,SJY182,"-6.124122,106.648026",0,2,208
1605001598,2020-11-10T09:46:38Z,SJY182,"-6.123917,106.647942",0,4,337
1605001612,2020-11-10T09:46:52Z,SJY182,"-6.123642,106.647835",0,5,337
1605001624,2020-11-10T09:47:04Z,SJY182,"-6.12331,106.647766",0,6,351
1605001634,2020-11-10T09:47:14Z,SJY182,"-6.123035,106.647743",0,7,357
1605001642,2020-11-10T09:47:22Z,SJY182,"-6.12276,106.647736",0,7,354
1605001649,2020-11-10T09:47:29Z,SJY182,"-6.122555,106.647682",0,8,343
1605001659,2020-11-10T09:47:39Z,SJY182,"-6.122213,106.647552",0,9,337
1605001671,2020-11-10T09:47:51Z,SJY182,"-6.121731,106.647369",0,11,337
1605001685,2020-11-10T09:48:05Z,SJY182,"-6.121037,106.647095",0,12,337
1605001692,2020-11-10T09:48:12Z,SJY182,"-6.120678,106.64695",0,12,337
1605001699,2020-11-10T09:48:19Z,SJY182,"-6.120323,106.646797",0,13,340
1605001705,2020-11-10T09:48:25Z,SJY182,"-6.120013,106.646774",0,12,2
1605001712,2020-11-10T09:48:32Z,SJY182,"-6.119722,106.647011",0,12,59
1605001724,2020-11-10T09:48:44Z,SJY182,"-6.119431,106.647705",0,16,70
1605001730,2020-11-10T09:48:50Z,SJY182,"-6.119259,106.648148",0,19,67
1605001736,2020-11-10T09:48:56Z,SJY182,"-6.119041,106.648712",0,22,67
1605001742,2020-11-10T09:49:02Z,SJY182,"-6.118813,106.649269",0,22,67
1605001750,2020-11-10T09:49:10Z,SJY182,"-6.118524,106.649994",0,22,67
1605001756,2020-11-10T09:49:16Z,SJY182,"-6.118302,106.650551",0,23,67
1605001762,2020-11-10T09:49:22Z,SJY182,"-6.118058,106.651138",0,23,67
1605001770,2020-11-10T09:49:30Z,SJY182,"-6.117737,106.651932",0,23,67
1605001776,2020-11-10T09:49:36Z,SJY182,"-6.117496,106.652512",0,24,67
1605001783,2020-11-10T09:49:43Z,SJY182,"-6.11721,106.653275",0,25,67
1605001802,2020-11-10T09:50:02Z,SJY182,"-6.116398,106.655296",0,26,67
1605001810,2020-11-10T09:50:10Z,SJY182,"-6.116055,106.656166",0,27,67
1605001817,2020-11-10T09:50:17Z,SJY182,"-6.115711,106.657043",0,28,67
1605001828,2020-11-10T09:50:28Z,SJY182,"-6.115162,106.658417",0,29,67
1605001835,2020-11-10T09:50:35Z,SJY182,"-6.11483,106.659218",0,29,67
1605001842,2020-11-10T09:50:42Z,SJY182,"-6.114485,106.660103",0,29,67
1605001848,2020-11-10T09:50:48Z,SJY182,"-6.114189,106.660828",0,29,67
