Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1605340220,2020-11-14T07:50:20Z,SJY182,"-6.121107,106.647545",0,3,2
1605340256,2020-11-14T07:50:56Z,SJY182,"-6.121445,106.647369",0,1,351
1605340326,2020-11-14T07:52:06Z,SJY182,"-6.121794,106.647034",0,1,351
1605340390,2020-11-14T07:53:10Z,SJY182,"-6.122131,106.646858",0,1,351
1605340446,2020-11-14T07:54:06Z,SJY182,"-6.121788,106.646683",0,4,354
1605340466,2020-11-14T07:54:26Z,SJY182,"-6.121445,106.646347",0,5,337
1605340474,2020-11-14T07:54:34Z,SJY182,"-6.121782,106.646515",0,7,337
1605340505,2020-11-14T07:55:05Z,SJY182,"-6.120243,106.64566",0,10,337
1605340513,2020-11-14T07:55:13Z,SJY182,"-6.1199,106.645485",0,10,337
1605340520,2020-11-14T07:55:20Z,SJY182,"-6.119545,106.645309",0,9,329
1605340536,2020-11-14T07:55:36Z,SJY182,"-6.119559,106.644798",0,9,264
1605340544,2020-11-14T07:55:44Z,SJY182,"-6.119728,106.644447",0,9,250
1605340554,2020-11-14T07:55:54Z,SJY182,"-6.119897,106.644112",0,10,250
1605340570,2020-11-14T07:56:10Z,SJY182,"-6.120246,106.64341",0,11,247
1605340576,2020-11-14T07:56:16Z,SJY182,"-6.120246,106.643066",0,12,244
1605340582,2020-11-14T07:56:22Z,SJY182,"-6.12042,106.642738",0,13,247
1605340588,2020-11-14T07:56:28Z,SJY182,"-6.120586,106.642387",0,14,247
1605340604,2020-11-14T07:56:44Z,SJY182,"-6.121113,106.641518",0,17,247
1605340621,2020-11-14T07:57:01Z,SJY182,"-6.121628,106.640144",0,19,250
1605340634,2020-11-14T07:57:14Z,SJY182,"-6.122131,106.63913",0,20,250
1605340640,2020-11-14T07:57:20Z,SJY182,"-6.122314,106.638611",0,18,247
1605340651,2020-11-14T07:57:31Z,SJY182,"-6.122646,106.637924",0,13,250
1605340660,2020-11-14T07:57:40Z,SJY182,"-6.122818,106.637405",0,11,264
1605340669,2020-11-14T07:57:49Z,SJY182,"-6.122818,106.63707",0,10,286
1605340676,2020-11-14T07:57:56Z,SJY182,"-6.122643,106.636734",0,7,315
1605340726,2020-11-14T07:58:46Z,SJY182,"-6.122643,106.636391",0,1,340
1605340795,2020-11-14T07:59:55Z,SJY182,"-6.12299,106.636047",0,1,340
1605340846,2020-11-14T08:00:46Z,SJY182,"-6.122807,106.635696",0,8,5
1605340854,2020-11-14T08:00:54Z,SJY182,"-6.122475,106.635872",0,10,28
1605340864,2020-11-14T08:01:04Z,SJY182,"-6.12212,106.636063",0,10,39
1605340870,2020-11-14T08:01:10Z,SJY182,"-6.121948,106.636398",0,11,47
1605340878,2020-11-14T08:01:18Z,SJY182,"-6.121782,106.636749",0,16,67
1605340884,2020-11-14T08:01:24Z,SJY182,"-6.121433,106.637268",0,31,67
1605340890,2020-11-14T08:01:30Z,SJY182,"-6.121078,106.638329",0,55,67
1605340896,2020-11-14T08:01:36Z,SJY182,"-6.120199,106.640633",0,90,67
1605340903,2020-11-14T08:01:43Z,SJY182,"-6.119007,106.643532",0,120,67
1605340913,2020-11-14T08:01:53Z,SJY182,"-6.116901,106.648941",0,155,67
1605340919,2020-11-14T08:01:59Z,SJY182,"-6.115207,106.653191",0,170,70
1605340925,2020-11-14T08:02:05Z,SJY182,"-6.113663,106.657463",475,168,69
1605340931,2020-11-14T08:02:11Z,SJY182,"-6.111797,106.662048",775,164,68
1605340950,2020-11-14T08:02:30Z,SJY182,"-6.106769,106.675491",1675,157,64
1605340959,2020-11-14T08:02:39Z,SJY182,"-6.102814,106.680969",1975,165,48
1605340966,2020-11-14T08:02:46Z,SJY182,"-6.099106,106.684784",2125,175,43
1605340977,2020-11-14T08:02:57Z,SJY182,"-6.091736,106.692192",2375,195,44
1605340985,2020-11-14T08:03:05Z,SJY182,"-6.086612,106.697136",2500,211,44
1605340994,2020-11-14T08:03:14Z,SJY182,"-6.080017,106.703735",2750,224,44
1605341000,2020-11-14T08:03:20Z,SJY182,"-6.075439,106.708107",2925,234,43
1605341012,2020-11-14T08:03:32Z,SJY182,"-6.065384,106.717827",3225,253,44
1605341020,2020-11-14T08:03:40Z,SJY182,"-6.058727,106.724693",3550,258,46
1605341026,2020-11-14T08:03:46Z,SJY182,"-6.053886,106.729858",3800,263,46
