Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1605944889,2020-11-21T07:48:09Z,SJY182,"-6.122201,106.649887",0,0,0
1605944990,2020-11-21T07:49:50Z,SJY182,"-6.121994,106.649796",0,4,336
1605945010,2020-11-21T07:50:10Z,SJY182,"-6.121731,106.649689",0,3,327
1605945035,2020-11-21T07:50:35Z,SJY182,"-6.121513,106.649513",0,3,307
1605945065,2020-11-21T07:51:05Z,SJY182,"-6.121503,106.649307",0,1,268
1605945188,2020-11-21T07:53:08Z,SJY182,"-6.121421,106.649521",0,7,62
1605945195,2020-11-21T07:53:15Z,SJY182,"-6.121328,106.649734",0,8,64
1605945202,2020-11-21T07:53:22Z,SJY182,"-6.121147,106.64994",0,10,36
1605945210,2020-11-21T07:53:30Z,SJY182,"-6.120747,106.650093",0,11,11
1605945216,2020-11-21T07:53:36Z,SJY182,"-6.120432,106.650139",0,13,5
1605945222,2020-11-21T07:53:42Z,SJY182,"-6.120106,106.650185",0,12,8
1605945228,2020-11-21T07:53:48Z,SJY182,"-6.119815,106.65023",0,10,8
1605945236,2020-11-21T07:53:56Z,SJY182,"-6.119536,106.65023",0,9,348
1605945242,2020-11-21T07:54:02Z,SJY182,"-6.119315,106.650162",0,9,340
1605945252,2020-11-21T07:54:12Z,SJY182,"-6.118858,106.649918",0,11,315
1605945264,2020-11-21T07:54:24Z,SJY182,"-6.118767,106.649406",0,11,255
1605945274,2020-11-21T07:54:34Z,SJY182,"-6.118938,106.648964",0,12,244
1605945306,2020-11-21T07:55:06Z,SJY182,"-6.119682,106.647079",0,15,247
1605945314,2020-11-21T07:55:14Z,SJY182,"-6.119865,106.646637",0,14,247
1605945320,2020-11-21T07:55:20Z,SJY182,"-6.120025,106.646225",0,14,247
1605945332,2020-11-21T07:55:32Z,SJY182,"-6.120316,106.645493",0,14,247
1605945340,2020-11-21T07:55:40Z,SJY182,"-6.120502,106.64502",0,14,247
1605945346,2020-11-21T07:55:46Z,SJY182,"-6.120653,106.644646",0,14,247
1605945352,2020-11-21T07:55:52Z,SJY182,"-6.120792,106.644272",0,14,250
1605945358,2020-11-21T07:55:58Z,SJY182,"-6.12093,106.643913",0,14,250
1605945364,2020-11-21T07:56:04Z,SJY182,"-6.121078,106.643555",0,14,247
1605945370,2020-11-21T07:56:10Z,SJY182,"-6.121216,106.643219",0,14,247
1605945376,2020-11-21T07:56:16Z,SJY182,"-6.121365,106.642845",0,14,247
1605945386,2020-11-21T07:56:26Z,SJY182,"-6.121608,106.642242",0,14,247
1605945398,2020-11-21T07:56:38Z,SJY182,"-6.121902,106.641502",0,14,247
1605945404,2020-11-21T07:56:44Z,SJY182,"-6.122028,106.641167",0,13,247
1605945410,2020-11-21T07:56:50Z,SJY182,"-6.122131,106.640923",0,10,247
1605945416,2020-11-21T07:56:56Z,SJY182,"-6.122224,106.640686",0,7,247
1605945430,2020-11-21T07:57:10Z,SJY182,"-6.122337,106.640404",0,5,247
1605945454,2020-11-21T07:57:34Z,SJY182,"-6.122429,106.640182",0,1,247
1605945478,2020-11-21T07:57:58Z,SJY182,"-6.122515,106.639977",0,3,247
1605945493,2020-11-21T07:58:13Z,SJY182,"-6.122573,106.639763",0,4,247
1605945510,2020-11-21T07:58:30Z,SJY182,"-6.122573,106.63942",0,5,247
1605945524,2020-11-21T07:58:44Z,SJY182,"-6.122452,106.639153",0,4,247
1605945550,2020-11-21T07:59:10Z,SJY182,"-6.122248,106.638985",0,1,247
1605945666,2020-11-21T08:01:06Z,SJY182,"-6.122026,106.638916",0,8,348
1605945672,2020-11-21T08:01:12Z,SJY182,"-6.121806,106.638916",0,9,5
1605945678,2020-11-21T08:01:18Z,SJY182,"-6.121605,106.638969",0,9,22
1605945685,2020-11-21T08:01:25Z,SJY182,"-6.121353,106.639061",0,9,19
1605945696,2020-11-21T08:01:36Z,SJY182,"-6.120956,106.639221",0,7,25
1605945709,2020-11-21T08:01:49Z,SJY182,"-6.120792,106.639442",0,4,25
1605945732,2020-11-21T08:02:12Z,SJY182,"-6.120665,106.639694",0,11,64
1605945738,2020-11-21T08:02:18Z,SJY182,"-6.12038,106.640411",0,41,70
1605945785,2020-11-21T08:03:05Z,SJY182,"-6.110367,106.666077",600,169,69
1605945793,2020-11-21T08:03:13Z,SJY182,"-6.107933,106.672562",875,172,69
1605945800,2020-11-21T08:03:20Z,SJY182,"-6.106211,106.676918",1075,178,67
1605945806,2020-11-21T08:03:26Z,SJY182,"-6.104279,106.681625",1325,177,68
1605945824,2020-11-21T08:03:44Z,SJY182,"-6.09549,106.694099",1775,192,43
1605945830,2020-11-21T08:03:50Z,SJY182,"-6.091415,106.697777",1875,201,41
1605945838,2020-11-21T08:03:58Z,SJY182,"-6.085169,106.703621",2050,215,43
1605945845,2020-11-21T08:04:05Z,SJY182,"-6.080467,106.708267",2150,225,44
1605945854,2020-11-21T08:04:14Z,SJY182,"-6.073857,106.715034",2450,233,45
1605945878,2020-11-21T08:04:38Z,SJY182,"-6.054072,106.735207",3350,255,45
1605945885,2020-11-21T08:04:45Z,SJY182,"-6.048905,106.740417",3650,258,45
1605945903,2020-11-21T08:05:03Z,SJY182,"-6.033263,106.756042",4575,260,44
1605945923,2020-11-21T08:05:23Z,SJY182,"-6.015294,106.77404",5175,270,44
1605945936,2020-11-21T08:05:36Z,SJY182,"-6.004168,106.785217",5225,270,44
1605945950,2020-11-21T08:05:50Z,SJY182,"-5.990528,106.797714",5350,273,37
1605945956,2020-11-21T08:05:56Z,SJY182,"-5.984523,106.801834",5450,274,32
1605945978,2020-11-21T08:06:18Z,SJY182,"-5.959259,106.814018",6350,276,23
1605945993,2020-11-21T08:06:33Z,SJY182,"-5.941927,106.821678",7075,278,23
1605946010,2020-11-21T08:06:50Z,SJY182,"-5.920839,106.8311",7900,284,24
1605946022,2020-11-21T08:07:02Z,SJY182,"-5.905975,106.837807",8425,288,24
1605946038,2020-11-21T08:07:18Z,SJY182,"-5.887136,106.846207",9125,291,24
1605946062,2020-11-21T08:07:42Z,SJY182,"-5.856132,106.85994",10225,297,24
1605946074,2020-11-21T08:07:54Z,SJY182,"-5.842163,106.866158",10600,303,23
1605946086,2020-11-21T08:08:06Z,SJY182,"-5.825958,106.873322",10800,319,23
1605946099,2020-11-21T08:08:19Z,SJY182,"-5.807112,106.881676",11025,336,24
1605946111,2020-11-21T08:08:31Z,SJY182,"-5.790772,106.888924",11200,347,23
1605946122,2020-11-21T08:08:42Z,SJY182,"-5.773087,106.896736",11400,360,23
1605946134,2020-11-21T08:08:54Z,SJY182,"-5.75386,106.905212",11800,366,23
1605946146,2020-11-21T08:09:06Z,SJY182,"-5.735092,106.913498",12300,369,23
1605946177,2020-11-21T08:09:37Z,SJY182,"-5.68602,106.935097",13550,375,23
1605946208,2020-11-21T08:10:08Z,SJY182,"-5.636078,106.957161",14725,381,23
1605946240,2020-11-21T08:10:40Z,SJY182,"-5.585384,106.979698",15000,383,25
1605946251,2020-11-21T08:10:51Z,SJY182,"-5.568253,106.989693",15000,382,34
1605946258,2020-11-21T08:10:58Z,SJY182,"-5.557825,106.997742",15000,381,39
1605946264,2020-11-21T08:11:04Z,SJY182,"-5.55043,107.004601",14975,379,44
1605946270,2020-11-21T08:11:10Z,SJY182,"-5.543347,107.012238",14975,379,48
1605946276,2020-11-21T08:11:16Z,SJY182,"-5.536743,107.019775",14975,379,49
1605946282,2020-11-21T08:11:22Z,SJY182,"-5.529195,107.028481",14975,379,49
1605946288,2020-11-21T08:11:28Z,SJY182,"-5.52212,107.036621",14975,379,49
1605946318,2020-11-21T08:11:58Z,SJY182,"-5.488083,107.075783",15125,379,48
1605946352,2020-11-21T08:12:32Z,SJY182,"-5.448578,107.121216",16250,387,49
1605946372,2020-11-21T08:12:52Z,SJY182,"-5.422028,107.148399",16975,393,39
1605946379,2020-11-21T08:12:59Z,SJY182,"-5.413001,107.154869",17200,394,34
1605946388,2020-11-21T08:13:08Z,SJY182,"-5.397034,107.163673",17525,397,25
1605946394,2020-11-21T08:13:14Z,SJY182,"-5.388375,107.16732",17700,398,22
1605946400,2020-11-21T08:13:20Z,SJY182,"-5.377947,107.170822",17900,399,17
1605946406,2020-11-21T08:13:26Z,SJY182,"-5.367333,107.173431",18075,401,12
1605946412,2020-11-21T08:13:32Z,SJY182,"-5.355789,107.175774",18275,402,11
1605946418,2020-11-21T08:13:38Z,SJY182,"-5.345314,107.177879",18475,403,11
1605946424,2020-11-21T08:13:44Z,SJY182,"-5.333909,107.180298",18675,403,11
1605946486,2020-11-21T08:14:46Z,SJY182,"-5.21727,107.204872",20600,413,11
1605946518,2020-11-21T08:15:18Z,SJY182,"-5.157257,107.221718",21425,419,21
1605946581,2020-11-21T08:16:21Z,SJY182,"-5.042957,107.266533",22850,436,21
1605946644,2020-11-21T08:17:24Z,SJY182,"-4.921363,107.313889",24300,447,21
1605946706,2020-11-21T08:18:26Z,SJY182,"-4.799443,107.361572",25650,455,21
1605946766,2020-11-21T08:19:26Z,SJY182,"-4.679105,107.408546",26875,462,21
1605946828,2020-11-21T08:20:28Z,SJY182,"-4.556207,107.456421",28000,470,21
1605946891,2020-11-21T08:21:31Z,SJY182,"-4.426652,107.506905",29075,476,21
1605946952,2020-11-21T08:22:32Z,SJY182,"-4.301239,107.555969",30325,475,21
1605947014,2020-11-21T08:23:34Z,SJY182,"-4.174153,107.605545",31575,474,21
1605947075,2020-11-21T08:24:35Z,SJY182,"-4.048369,107.654465",32950,468,21
1605947137,2020-11-21T08:25:37Z,SJY182,"-3.922943,107.703209",34175,461,21
1605947199,2020-11-21T08:26:39Z,SJY182,"-3.801735,107.750404",35000,454,21
1605947261,2020-11-21T08:27:41Z,SJY182,"-3.680832,107.797615",34975,451,21
1605947323,2020-11-21T08:28:43Z,SJY182,"-3.56012,107.844635",34975,449,21
1605947385,2020-11-21T08:29:45Z,SJY182,"-3.440629,107.89109",35000,448,21
1605947446,2020-11-21T08:30:46Z,SJY182,"-3.320431,107.937836",35000,447,21
1605947508,2020-11-21T08:31:48Z,SJY182,"-3.201397,107.984146",35000,448,21
1605947570,2020-11-21T08:32:50Z,SJY182,"-3.080521,108.031029",35000,450,21
1605947630,2020-11-21T08:33:50Z,SJY182,"-2.963283,108.076538",34975,447,21
1605947695,2020-11-21T08:34:55Z,SJY182,"-2.837638,108.12545",35000,452,21
1605947757,2020-11-21T08:35:57Z,SJY182,"-2.715683,108.172966",35000,456,21
