Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1606203894,2020-11-24T07:44:54Z,SJY183,"-6.109655,106.669518",0,14,315
1606203900,2020-11-24T07:45:00Z,SJY183,"-6.10944,106.669167",0,14,292
1606203910,2020-11-24T07:45:10Z,SJY183,"-6.109234,106.668587",0,11,284
1606203920,2020-11-24T07:45:20Z,SJY183,"-6.109291,106.668259",0,7,241
1606204017,2020-11-24T07:46:57Z,SJY183,"-6.109749,106.667099",0,44,247
1606204024,2020-11-24T07:47:04Z,SJY183,"-6.110378,106.665535",0,69,247
1606204036,2020-11-24T07:47:16Z,SJY183,"-6.112262,106.660828",0,115,247
1606204047,2020-11-24T07:47:27Z,SJY183,"-6.115047,106.653816",0,155,247
1606204062,2020-11-24T07:47:42Z,SJY183,"-6.119152,106.643433",675,156,247
1606204069,2020-11-24T07:47:49Z,SJY183,"-6.121124,106.639076",975,152,245
1606204084,2020-11-24T07:48:04Z,SJY183,"-6.124971,106.628708",1425,164,260
1606204105,2020-11-24T07:48:25Z,SJY183,"-6.121033,106.612587",1825,187,292
1606204111,2020-11-24T07:48:31Z,SJY183,"-6.119156,106.607513",1900,196,289
1606204118,2020-11-24T07:48:38Z,SJY183,"-6.117243,106.601952",2025,202,288
1606204124,2020-11-24T07:48:44Z,SJY183,"-6.115242,106.596031",2125,213,288
1606204131,2020-11-24T07:48:51Z,SJY183,"-6.112839,106.588753",2275,223,288
1606204150,2020-11-24T07:49:10Z,SJY183,"-6.106722,106.569702",2775,241,287
1606204172,2020-11-24T07:49:32Z,SJY183,"-6.098969,106.545227",3600,253,287
1606204180,2020-11-24T07:49:40Z,SJY183,"-6.096202,106.536507",3925,256,288
1606204189,2020-11-24T07:49:49Z,SJY183,"-6.091324,106.52623",4350,260,301
1606204201,2020-11-24T07:50:01Z,SJY183,"-6.0807,106.516716",4925,262,330
1606204210,2020-11-24T07:50:10Z,SJY183,"-6.069763,106.512962",5325,264,347
1606204216,2020-11-24T07:50:16Z,SJY183,"-6.062265,106.51236",5575,266,359
1606204241,2020-11-24T07:50:41Z,SJY183,"-6.035591,106.522728",6600,265,38
1606204256,2020-11-24T07:50:56Z,SJY183,"-6.023987,106.537727",7000,277,58
1606204268,2020-11-24T07:51:08Z,SJY183,"-6.015201,106.551949",7375,286,58
1606204282,2020-11-24T07:51:22Z,SJY183,"-6.005264,106.56794",7875,293,58
1606204298,2020-11-24T07:51:38Z,SJY183,"-5.993601,106.586281",8775,286,57
1606204311,2020-11-24T07:51:51Z,SJY183,"-5.984989,106.599678",9500,278,57
1606204323,2020-11-24T07:52:03Z,SJY183,"-5.976746,106.612495",10125,274,57
1606204335,2020-11-24T07:52:15Z,SJY183,"-5.96809,106.625961",10600,279,57
1606204347,2020-11-24T07:52:27Z,SJY183,"-5.959671,106.639076",10800,290,57
1606204359,2020-11-24T07:52:39Z,SJY183,"-5.950261,106.653709",11025,306,57
1606204371,2020-11-24T07:52:51Z,SJY183,"-5.941509,106.667442",11225,317,57
1606204382,2020-11-24T07:53:02Z,SJY183,"-5.931453,106.683357",11650,323,57
1606204394,2020-11-24T07:53:14Z,SJY183,"-5.922515,106.697372",12000,328,57
1606204425,2020-11-24T07:53:45Z,SJY183,"-5.894897,106.740417",12550,361,54
1606204436,2020-11-24T07:53:56Z,SJY183,"-5.883504,106.753822",12975,360,46
1606204442,2020-11-24T07:54:02Z,SJY183,"-5.876266,106.760902",13375,355,43
1606204449,2020-11-24T07:54:09Z,SJY183,"-5.868118,106.767929",13850,349,39
1606204456,2020-11-24T07:54:16Z,SJY183,"-5.858785,106.775032",14350,344,35
1606204462,2020-11-24T07:54:22Z,SJY183,"-5.850872,106.780434",14675,343,34
1606204468,2020-11-24T07:54:28Z,SJY183,"-5.842957,106.785881",14975,343,34
1606204505,2020-11-24T07:55:05Z,SJY183,"-5.794876,106.818436",16650,341,34
1606204536,2020-11-24T07:55:36Z,SJY183,"-5.753717,106.846306",17350,363,34
1606204566,2020-11-24T07:56:06Z,SJY183,"-5.708468,106.877037",17725,393,34
1606204598,2020-11-24T07:56:38Z,SJY183,"-5.658417,106.911034",18225,417,34
1606204662,2020-11-24T07:57:42Z,SJY183,"-5.554753,106.981308",20125,430,34
1606204724,2020-11-24T07:58:44Z,SJY183,"-5.451645,107.051384",21875,441,34
1606204785,2020-11-24T07:59:45Z,SJY183,"-5.346451,107.122894",23825,442,34
1606204823,2020-11-24T08:00:23Z,SJY183,"-5.280212,107.161667",24675,449,24
1606204830,2020-11-24T08:00:30Z,SJY183,"-5.266501,107.167465",24775,452,21
1606204892,2020-11-24T08:01:32Z,SJY183,"-5.143044,107.216331",25950,464,21
1606204953,2020-11-24T08:02:33Z,SJY183,"-5.019104,107.265663",27250,470,21
1606205014,2020-11-24T08:03:34Z,SJY183,"-4.894223,107.315445",28375,477,21
1606205078,2020-11-24T08:04:38Z,SJY183,"-4.760834,107.365753",29650,478,19
1606205141,2020-11-24T08:05:41Z,SJY183,"-4.629593,107.411003",30825,480,19
1606205202,2020-11-24T08:06:42Z,SJY183,"-4.500996,107.454857",32300,473,18
1606205262,2020-11-24T08:07:42Z,SJY183,"-4.377726,107.496719",33700,462,18
1606205324,2020-11-24T08:08:44Z,SJY183,"-4.252919,107.538391",35000,453,18
1606205384,2020-11-24T08:09:44Z,SJY183,"-4.13269,107.577843",35000,454,18
1606205446,2020-11-24T08:10:46Z,SJY183,"-4.009963,107.618042",35000,457,18
1606205506,2020-11-24T08:11:46Z,SJY183,"-3.887878,107.657356",35000,458,17
1606205567,2020-11-24T08:12:47Z,SJY183,"-3.762543,107.696465",35000,456,17
1606205630,2020-11-24T08:13:50Z,SJY183,"-3.637665,107.734123",35000,454,16
1606205692,2020-11-24T08:14:52Z,SJY183,"-3.509946,107.76963",35000,454,14
1606205755,2020-11-24T08:15:55Z,SJY183,"-3.384068,107.80069",34975,446,13
1606205817,2020-11-24T08:16:57Z,SJY183,"-3.257858,107.830673",34975,446,9
1606205892,2020-11-24T08:18:12Z,SJY183,"-3.1055,107.855812",35000,442,9
1606205954,2020-11-24T08:19:14Z,SJY183,"-2.979902,107.876274",35000,440,9
1606206017,2020-11-24T08:20:17Z,SJY183,"-2.853928,107.897011",34975,439,9
1606206079,2020-11-24T08:21:19Z,SJY183,"-2.728008,107.917892",35000,439,10
1606206142,2020-11-24T08:22:22Z,SJY183,"-2.603806,107.939835",35000,435,9
1606206206,2020-11-24T08:23:26Z,SJY183,"-2.474716,107.962044",34975,433,9
