Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1606288513,2020-11-25T07:15:13Z,SJY182,"-6.124063,106.648186",0,3,258
1606288540,2020-11-25T07:15:40Z,SJY182,"-6.124283,106.648079",0,2,176
1606288697,2020-11-25T07:18:17Z,SJY182,"-6.124077,106.648003",0,5,340
1606288727,2020-11-25T07:18:47Z,SJY182,"-6.122865,106.647743",0,13,348
1606288734,2020-11-25T07:18:54Z,SJY182,"-6.122399,106.647636",0,14,337
1606288745,2020-11-25T07:19:05Z,SJY182,"-6.121605,106.647301",0,17,337
1606288751,2020-11-25T07:19:11Z,SJY182,"-6.121181,106.647141",0,17,340
1606288758,2020-11-25T07:19:18Z,SJY182,"-6.1207,106.64695",0,16,337
1606288768,2020-11-25T07:19:28Z,SJY182,"-6.120071,106.646736",0,11,354
1606288774,2020-11-25T07:19:34Z,SJY182,"-6.119804,106.646835",0,11,39
1606288783,2020-11-25T07:19:43Z,SJY182,"-6.119606,106.647209",0,12,67
1606288790,2020-11-25T07:19:50Z,SJY182,"-6.119443,106.647598",0,14,67
1606288796,2020-11-25T07:19:56Z,SJY182,"-6.119305,106.647964",0,15,67
1606288802,2020-11-25T07:20:02Z,SJY182,"-6.119156,106.648323",0,16,67
1606288810,2020-11-25T07:20:10Z,SJY182,"-6.118904,106.648941",0,18,67
1606288822,2020-11-25T07:20:22Z,SJY182,"-6.118469,106.650047",0,21,67
1606288828,2020-11-25T07:20:28Z,SJY182,"-6.11824,106.65062",0,21,70
1606288834,2020-11-25T07:20:34Z,SJY182,"-6.118035,106.651131",0,22,67
1606288840,2020-11-25T07:20:40Z,SJY182,"-6.11779,106.651749",0,22,67
1606288846,2020-11-25T07:20:46Z,SJY182,"-6.117542,106.652367",0,23,67
1606288852,2020-11-25T07:20:52Z,SJY182,"-6.117301,106.652954",0,23,67
1606288873,2020-11-25T07:21:13Z,SJY182,"-6.116386,106.655258",0,26,67
1606288883,2020-11-25T07:21:23Z,SJY182,"-6.115963,106.656319",0,22,67
1606288890,2020-11-25T07:21:30Z,SJY182,"-6.115672,106.657074",0,23,67
1606288897,2020-11-25T07:21:37Z,SJY182,"-6.115428,106.657677",0,23,67
1606288904,2020-11-25T07:21:44Z,SJY182,"-6.115116,106.658463",0,22,67
1606288915,2020-11-25T07:21:55Z,SJY182,"-6.114695,106.6595",0,21,67
1606288926,2020-11-25T07:22:06Z,SJY182,"-6.114287,106.660545",0,19,67
1606288934,2020-11-25T07:22:14Z,SJY182,"-6.114043,106.661156",0,16,67
1606288964,2020-11-25T07:22:44Z,SJY182,"-6.113403,106.662735",0,8,67
1606288976,2020-11-25T07:22:56Z,SJY182,"-6.113216,106.6632",0,9,70
1606288984,2020-11-25T07:23:04Z,SJY182,"-6.113079,106.663536",0,10,67
1606289008,2020-11-25T07:23:28Z,SJY182,"-6.112839,106.664162",0,1,70
1606289081,2020-11-25T07:24:41Z,SJY182,"-6.112747,106.664375",0,5,70
1606289094,2020-11-25T07:24:54Z,SJY182,"-6.1126,106.664742",0,8,67
1606289100,2020-11-25T07:25:00Z,SJY182,"-6.112507,106.664993",0,10,67
1606289106,2020-11-25T07:25:06Z,SJY182,"-6.112391,106.665291",0,10,67
1606289164,2020-11-25T07:26:04Z,SJY182,"-6.112267,106.665573",0,3,67
1606289186,2020-11-25T07:26:26Z,SJY182,"-6.11203,106.666176",0,10,67
1606289193,2020-11-25T07:26:33Z,SJY182,"-6.1119,106.666504",0,12,67
1606289202,2020-11-25T07:26:42Z,SJY182,"-6.111727,106.666931",0,10,67
1606289210,2020-11-25T07:26:50Z,SJY182,"-6.11161,106.667229",0,8,67
1606289227,2020-11-25T07:27:07Z,SJY182,"-6.111523,106.667458",0,1,67
1606289494,2020-11-25T07:31:34Z,SJY182,"-6.111401,106.667755",0,6,67
1606289520,2020-11-25T07:32:00Z,SJY182,"-6.110996,106.66877",0,9,67
1606289532,2020-11-25T07:32:12Z,SJY182,"-6.11087,106.66909",0,4,67
1606289646,2020-11-25T07:34:06Z,SJY182,"-6.110733,106.669388",0,5,67
1606289656,2020-11-25T07:34:16Z,SJY182,"-6.110516,106.669624",0,7,33
1606289667,2020-11-25T07:34:27Z,SJY182,"-6.11031,106.669708",0,1,28
1606289795,2020-11-25T07:36:35Z,SJY182,"-6.110035,106.669754",0,6,28
1606289804,2020-11-25T07:36:44Z,SJY182,"-6.109772,106.66967",0,8,329
1606289814,2020-11-25T07:36:54Z,SJY182,"-6.109516,106.669388",0,9,300
1606289820,2020-11-25T07:37:00Z,SJY182,"-6.109417,106.669136",0,10,286
1606289826,2020-11-25T07:37:06Z,SJY182,"-6.109348,106.668846",0,12,278
1606289832,2020-11-25T07:37:12Z,SJY182,"-6.10933,106.668533",0,14,270
1606289838,2020-11-25T07:37:18Z,SJY182,"-6.109399,106.668022",0,23,258
1606289844,2020-11-25T07:37:24Z,SJY182,"-6.109841,106.666801",0,56,247
1606289850,2020-11-25T07:37:30Z,SJY182,"-6.110505,106.665161",0,76,247
1606289856,2020-11-25T07:37:36Z,SJY182,"-6.111408,106.662888",0,98,247
1606289863,2020-11-25T07:37:43Z,SJY182,"-6.113042,106.658791",0,125,247
1606289888,2020-11-25T07:38:08Z,SJY182,"-6.119568,106.642471",850,154,247
1606289900,2020-11-25T07:38:20Z,SJY182,"-6.122864,106.635208",1275,155,245
1606289924,2020-11-25T07:38:44Z,SJY182,"-6.123688,106.617844",1775,179,288
1606289930,2020-11-25T07:38:50Z,SJY182,"-6.121765,106.612305",1925,187,289
1606289942,2020-11-25T07:39:02Z,SJY182,"-6.118011,106.602341",2050,206,290
1606289957,2020-11-25T07:39:17Z,SJY182,"-6.112381,106.587723",2375,227,293
1606289963,2020-11-25T07:39:23Z,SJY182,"-6.109097,106.581306",2500,239,299
1606289972,2020-11-25T07:39:32Z,SJY182,"-6.104162,106.573685",2750,248,305
1606289986,2020-11-25T07:39:46Z,SJY182,"-6.092102,106.560493",3350,260,318
1606289999,2020-11-25T07:39:59Z,SJY182,"-6.079396,106.551994",3950,266,334
1606290010,2020-11-25T07:40:10Z,SJY182,"-6.065245,106.548203",4300,279,351
1606290033,2020-11-25T07:40:33Z,SJY182,"-6.036568,106.555214",5200,291,31
1606290050,2020-11-25T07:40:50Z,SJY182,"-6.018173,106.569107",6075,291,37
1606290062,2020-11-25T07:41:02Z,SJY182,"-6.005006,106.579079",6725,291,36
1606290073,2020-11-25T07:41:13Z,SJY182,"-5.993958,106.587402",7250,292,36
1606290083,2020-11-25T07:41:23Z,SJY182,"-5.982468,106.595825",7725,296,34
1606290097,2020-11-25T07:41:37Z,SJY182,"-5.96688,106.605881",8325,299,31
1606290107,2020-11-25T07:41:47Z,SJY182,"-5.953674,106.613937",8775,304,31
1606290120,2020-11-25T07:42:00Z,SJY182,"-5.938522,106.623245",9225,311,32
1606290131,2020-11-25T07:42:11Z,SJY182,"-5.92447,106.632118",9675,315,32
1606290142,2020-11-25T07:42:22Z,SJY182,"-5.911377,106.640518",9900,317,32
1606290153,2020-11-25T07:42:33Z,SJY182,"-5.897703,106.649307",10150,318,32
1606290164,2020-11-25T07:42:44Z,SJY182,"-5.88276,106.659012",10450,317,33
1606290177,2020-11-25T07:42:57Z,SJY182,"-5.867477,106.669006",10750,327,33
1606290188,2020-11-25T07:43:08Z,SJY182,"-5.852082,106.679047",10950,340,33
1606290200,2020-11-25T07:43:20Z,SJY182,"-5.835789,106.689606",11125,355,32
1606290213,2020-11-25T07:43:33Z,SJY182,"-5.818797,106.700592",11350,368,32
1606290227,2020-11-25T07:43:47Z,SJY182,"-5.797028,106.714584",11875,373,32
1606290240,2020-11-25T07:44:00Z,SJY182,"-5.779926,106.725548",12475,369,32
1606290271,2020-11-25T07:44:31Z,SJY182,"-5.734118,106.755196",13100,374,33
1606290303,2020-11-25T07:45:03Z,SJY182,"-5.686961,106.785591",14250,379,32
1606290335,2020-11-25T07:45:35Z,SJY182,"-5.639245,106.816231",15675,382,32
1606290366,2020-11-25T07:46:06Z,SJY182,"-5.593438,106.845779",16875,390,32
1606290408,2020-11-25T07:46:48Z,SJY182,"-5.527908,106.887939",18300,405,32
1606290469,2020-11-25T07:47:49Z,SJY182,"-5.429061,106.951477",20250,422,32
1606290532,2020-11-25T07:48:52Z,SJY182,"-5.323608,107.01931",22475,429,32
1606290593,2020-11-25T07:49:53Z,SJY182,"-5.221066,107.085205",24325,436,32
1606290653,2020-11-25T07:50:53Z,SJY182,"-5.115921,107.152824",25950,446,32
1606290716,2020-11-25T07:51:56Z,SJY182,"-5.005669,107.223061",27400,458,30
1606290737,2020-11-25T07:52:17Z,SJY182,"-4.965727,107.242714",27825,463,22
1606290743,2020-11-25T07:52:23Z,SJY182,"-4.954102,107.247368",27950,464,21
1606290808,2020-11-25T07:53:28Z,SJY182,"-4.821788,107.300293",29200,472,21
1606290870,2020-11-25T07:54:30Z,SJY182,"-4.696469,107.350777",31050,459,22
1606290931,2020-11-25T07:55:31Z,SJY182,"-4.578133,107.398552",32600,453,22
1606290991,2020-11-25T07:56:31Z,SJY182,"-4.459658,107.446243",33000,452,22
1606291053,2020-11-25T07:57:33Z,SJY182,"-4.340484,107.494591",33000,448,22
1606291114,2020-11-25T07:58:34Z,SJY182,"-4.22415,107.541428",33000,446,22
1606291176,2020-11-25T07:59:36Z,SJY182,"-4.103533,107.589966",33000,445,22
1606291238,2020-11-25T08:00:38Z,SJY182,"-3.993622,107.651955",33000,443,33
1606291299,2020-11-25T08:01:39Z,SJY182,"-3.88902,107.720901",33000,442,33
1606291360,2020-11-25T08:02:40Z,SJY182,"-3.784185,107.790466",33000,443,33
1606291422,2020-11-25T08:03:42Z,SJY182,"-3.675718,107.857422",33000,444,24
1606291430,2020-11-25T08:03:50Z,SJY182,"-3.66156,107.863213",33000,445,20
1606291436,2020-11-25T08:03:56Z,SJY182,"-3.648331,107.867867",33000,445,18
1606291501,2020-11-25T08:05:01Z,SJY182,"-3.52272,107.912697",33000,446,20
