Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1606804684,2020-12-01T06:38:04Z,SJY182,"-6.122005,106.648079",0,3,340
1606804813,2020-12-01T06:40:13Z,SJY182,"-6.122063,106.647705",0,6,262
1606804827,2020-12-01T06:40:27Z,SJY182,"-6.121788,106.647369",0,9,334
1606804842,2020-12-01T06:40:42Z,SJY182,"-6.121119,106.647095",0,13,337
1606804851,2020-12-01T06:40:51Z,SJY182,"-6.120584,106.646881",0,14,337
1606804858,2020-12-01T06:40:58Z,SJY182,"-6.120209,106.646744",0,11,343
1606804868,2020-12-01T06:41:08Z,SJY182,"-6.119762,106.646927",0,12,56
1606804886,2020-12-01T06:41:26Z,SJY182,"-6.119245,106.648148",0,20,67
1606804894,2020-12-01T06:41:34Z,SJY182,"-6.118931,106.648941",0,23,67
1606804902,2020-12-01T06:41:42Z,SJY182,"-6.118605,106.649757",0,23,67
1606804908,2020-12-01T06:41:48Z,SJY182,"-6.118366,106.65036",0,23,67
1606804916,2020-12-01T06:41:56Z,SJY182,"-6.118046,106.651176",0,24,67
1606804924,2020-12-01T06:42:04Z,SJY182,"-6.117709,106.652016",0,22,67
1606804932,2020-12-01T06:42:12Z,SJY182,"-6.117406,106.652763",0,22,67
1606804964,2020-12-01T06:42:44Z,SJY182,"-6.116375,106.655357",0,19,67
1606804976,2020-12-01T06:42:56Z,SJY182,"-6.115975,106.656364",0,21,67
1606804982,2020-12-01T06:43:02Z,SJY182,"-6.115746,106.656937",0,24,67
1606804988,2020-12-01T06:43:08Z,SJY182,"-6.115471,106.6576",0,26,67
1606804994,2020-12-01T06:43:14Z,SJY182,"-6.115128,106.65847",0,28,67
1606805000,2020-12-01T06:43:20Z,SJY182,"-6.114846,106.659195",0,28,67
1606805007,2020-12-01T06:43:27Z,SJY182,"-6.114532,106.659973",0,29,67
1606805013,2020-12-01T06:43:33Z,SJY182,"-6.114217,106.660751",0,29,67
1606805024,2020-12-01T06:43:44Z,SJY182,"-6.113617,106.662247",0,29,67
1606805038,2020-12-01T06:43:58Z,SJY182,"-6.112937,106.663979",0,30,67
1606805044,2020-12-01T06:44:04Z,SJY182,"-6.112623,106.664764",0,30,67
1606805067,2020-12-01T06:44:27Z,SJY182,"-6.111465,106.667656",0,26,67
1606805090,2020-12-01T06:44:50Z,SJY182,"-6.110584,106.669579",0,14,39
1606805100,2020-12-01T06:45:00Z,SJY182,"-6.110069,106.669731",0,13,357
1606805127,2020-12-01T06:45:27Z,SJY182,"-6.109143,106.668785",0,8,340
1606805140,2020-12-01T06:45:40Z,SJY182,"-6.109177,106.668518",0,3,334
1606805174,2020-12-01T06:46:14Z,SJY182,"-6.109388,106.667992",0,29,247
1606805180,2020-12-01T06:46:20Z,SJY182,"-6.10984,106.666832",0,55,247
1606805186,2020-12-01T06:46:26Z,SJY182,"-6.110412,106.665398",0,74,247
1606805192,2020-12-01T06:46:32Z,SJY182,"-6.111261,106.663292",0,94,247
