Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1606890990,2020-12-02T06:36:30Z,SJY182,"-6.117268,106.653061",0,25,67
1606891009,2020-12-02T06:36:49Z,SJY182,"-6.116398,106.655251",0,26,67
1606891020,2020-12-02T06:37:00Z,SJY182,"-6.115849,106.656609",0,27,67
1606891027,2020-12-02T06:37:07Z,SJY182,"-6.115528,106.657417",0,26,67
1606891034,2020-12-02T06:37:14Z,SJY182,"-6.115219,106.658195",0,25,67
1606891040,2020-12-02T06:37:20Z,SJY182,"-6.114956,106.658844",0,25,67
1606891046,2020-12-02T06:37:26Z,SJY182,"-6.114671,106.659584",0,25,67
1606891053,2020-12-02T06:37:33Z,SJY182,"-6.114395,106.660263",0,25,67
1606891081,2020-12-02T06:38:01Z,SJY182,"-6.113148,106.663383",0,25,67
1606891089,2020-12-02T06:38:09Z,SJY182,"-6.112804,106.664238",0,23,67
1606891101,2020-12-02T06:38:21Z,SJY182,"-6.112404,106.66526",0,18,67
1606891121,2020-12-02T06:38:41Z,SJY182,"-6.111843,106.666664",0,13,67
1606891146,2020-12-02T06:39:06Z,SJY182,"-6.111568,106.667328",0,0,67
1606891165,2020-12-02T06:39:25Z,SJY182,"-6.112774,106.66433",0,0,180
1606891220,2020-12-02T06:40:20Z,SJY182,"-6.111568,106.667328",0,0,180
1606891272,2020-12-02T06:41:12Z,SJY182,"-6.111477,106.667549",0,5,67
1606891280,2020-12-02T06:41:20Z,SJY182,"-6.111378,106.667801",0,8,70
1606891286,2020-12-02T06:41:26Z,SJY182,"-6.111285,106.668022",0,9,67
1606891293,2020-12-02T06:41:33Z,SJY182,"-6.11118,106.668304",0,10,70
1606891303,2020-12-02T06:41:43Z,SJY182,"-6.111008,106.668747",0,8,67
1606891422,2020-12-02T06:43:42Z,SJY182,"-6.110813,106.669212",0,7,67
1606891429,2020-12-02T06:43:49Z,SJY182,"-6.110699,106.669449",0,8,53
1606891438,2020-12-02T06:43:58Z,SJY182,"-6.110458,106.669647",0,6,33
1606891450,2020-12-02T06:44:10Z,SJY182,"-6.110241,106.669716",0,3,33
1606891464,2020-12-02T06:44:24Z,SJY182,"-6.109911,106.669708",0,7,33
1606891474,2020-12-02T06:44:34Z,SJY182,"-6.109623,106.669533",0,9,317
1606891480,2020-12-02T06:44:40Z,SJY182,"-6.109457,106.669281",0,11,292
1606891486,2020-12-02T06:44:46Z,SJY182,"-6.109294,106.669022",0,12,312
1606891492,2020-12-02T06:44:52Z,SJY182,"-6.109062,106.668877",0,9,329
1606891504,2020-12-02T06:45:04Z,SJY182,"-6.10912,106.668625",0,4,323
1606891538,2020-12-02T06:45:38Z,SJY182,"-6.109201,106.668381",0,13,247
1606891544,2020-12-02T06:45:44Z,SJY182,"-6.109574,106.667458",0,46,247
1606891550,2020-12-02T06:45:50Z,SJY182,"-6.110075,106.666214",0,68,247
1606891569,2020-12-02T06:46:09Z,SJY182,"-6.113705,106.65712",0,135,247
1606891581,2020-12-02T06:46:21Z,SJY182,"-6.116778,106.649216",275,168,249
1606891603,2020-12-02T06:46:43Z,SJY182,"-6.123947,106.633156",1075,174,243
1606891611,2020-12-02T06:46:51Z,SJY182,"-6.126647,106.627571",1375,174,245
1606891641,2020-12-02T06:47:21Z,SJY182,"-6.121628,106.603508",2125,203,307
1606891656,2020-12-02T06:47:36Z,SJY182,"-6.10849,106.596016",2400,231,347
1606891664,2020-12-02T06:47:44Z,SJY182,"-6.099833,106.59594",2650,245,7
1606891690,2020-12-02T06:48:10Z,SJY182,"-6.077362,106.614357",3825,266,66
1606891698,2020-12-02T06:48:18Z,SJY182,"-6.074043,106.62487",4375,264,74
1606891708,2020-12-02T06:48:28Z,SJY182,"-6.071017,106.635338",4825,269,72
1606891723,2020-12-02T06:48:43Z,SJY182,"-6.064087,106.653229",5425,281,66
1606891749,2020-12-02T06:49:09Z,SJY182,"-6.047653,106.684738",6625,295,60
1606891783,2020-12-02T06:49:43Z,SJY182,"-6.024628,106.7258",8475,299,61
1606891796,2020-12-02T06:49:56Z,SJY182,"-6.016205,106.740974",9125,302,60
1606891807,2020-12-02T06:50:07Z,SJY182,"-6.007892,106.755951",9725,303,61
1606891819,2020-12-02T06:50:19Z,SJY182,"-6.000092,106.770164",10300,306,61
1606891831,2020-12-02T06:50:31Z,SJY182,"-5.991211,106.786407",10750,316,61
1606891846,2020-12-02T06:50:46Z,SJY182,"-5.980591,106.805634",11000,337,61
1606891856,2020-12-02T06:50:56Z,SJY182,"-5.972809,106.820396",11175,351,63
1606891870,2020-12-02T06:51:10Z,SJY182,"-5.96402,106.840736",11400,369,68
1606891876,2020-12-02T06:51:16Z,SJY182,"-5.960403,106.851212",11575,375,72
1606891882,2020-12-02T06:51:22Z,SJY182,"-5.957611,106.860565",11800,377,74
1606891890,2020-12-02T06:51:30Z,SJY182,"-5.95431,106.873863",12125,377,75
1606891908,2020-12-02T06:51:48Z,SJY182,"-5.94104,106.90461",12875,383,55
1606891914,2020-12-02T06:51:54Z,SJY182,"-5.934014,106.913071",13125,382,47
1606891924,2020-12-02T06:52:04Z,SJY182,"-5.921864,106.923775",13550,379,38
1606891930,2020-12-02T06:52:10Z,SJY182,"-5.913251,106.929886",13825,378,33
1606891936,2020-12-02T06:52:16Z,SJY182,"-5.903412,106.936028",14150,378,31
1606891942,2020-12-02T06:52:22Z,SJY182,"-5.89444,106.941666",14400,380,32
1606891960,2020-12-02T06:52:40Z,SJY182,"-5.869306,106.962227",15150,388,43
1606891969,2020-12-02T06:52:49Z,SJY182,"-5.858832,106.972221",15425,391,43
1606892003,2020-12-02T06:53:23Z,SJY182,"-5.813723,107.013466",17300,381,41
1606892036,2020-12-02T06:53:56Z,SJY182,"-5.769871,107.052773",18675,385,42
1606892099,2020-12-02T06:54:59Z,SJY182,"-5.683702,107.129814",20675,403,41
1606892162,2020-12-02T06:56:02Z,SJY182,"-5.591669,107.207008",22700,414,37
1606892225,2020-12-02T06:57:05Z,SJY182,"-5.494793,107.279503",25050,412,36
1606892286,2020-12-02T06:58:06Z,SJY182,"-5.398663,107.347649",26500,426,35
1606892346,2020-12-02T06:59:06Z,SJY182,"-5.299438,107.417145",27825,439,34
1606892408,2020-12-02T07:00:08Z,SJY182,"-5.19603,107.487953",29250,446,34
1606892470,2020-12-02T07:01:10Z,SJY182,"-5.091139,107.56472",30750,449,39
1606892533,2020-12-02T07:02:13Z,SJY182,"-4.987152,107.649353",32350,448,38
1606892596,2020-12-02T07:03:16Z,SJY182,"-4.8853,107.729095",33900,445,38
1606892657,2020-12-02T07:04:17Z,SJY182,"-4.786743,107.805534",35025,441,36
1606892719,2020-12-02T07:05:19Z,SJY182,"-4.681641,107.879181",35000,443,34
1606892780,2020-12-02T07:06:20Z,SJY182,"-4.578785,107.950668",35000,445,35
1606892841,2020-12-02T07:07:21Z,SJY182,"-4.478651,108.02549",35000,447,37
1606892884,2020-12-02T07:08:04Z,SJY182,"-4.406868,108.078522",35000,450,28
1606892890,2020-12-02T07:08:10Z,SJY182,"-4.395172,108.084244",35000,451,24
1606892896,2020-12-02T07:08:16Z,SJY182,"-4.383682,108.089317",35000,451,23
1606892960,2020-12-02T07:09:20Z,SJY182,"-4.259903,108.142105",35000,453,23
1606892992,2020-12-02T07:09:52Z,SJY182,"-4.196684,108.166512",35000,455,13
1606892999,2020-12-02T07:09:59Z,SJY182,"-4.182175,108.169479",35000,457,10
1606893006,2020-12-02T07:10:06Z,SJY182,"-4.16838,108.172005",35000,457,10
1606893072,2020-12-02T07:11:12Z,SJY182,"-4.030518,108.197502",35025,459,10
1606893134,2020-12-02T07:12:14Z,SJY182,"-3.89827,108.224503",35000,464,11
1606893195,2020-12-02T07:13:15Z,SJY182,"-3.768539,108.250015",35000,463,11
1606893257,2020-12-02T07:14:17Z,SJY182,"-3.640106,108.274765",35000,460,10
1606893318,2020-12-02T07:15:18Z,SJY182,"-3.511854,108.303177",35000,459,13
1606893379,2020-12-02T07:16:19Z,SJY182,"-3.387085,108.333618",35000,450,14
1606893440,2020-12-02T07:17:20Z,SJY182,"-3.263855,108.364815",35000,440,13
1606893500,2020-12-02T07:18:20Z,SJY182,"-3.140833,108.390686",35000,452,11
1606893564,2020-12-02T07:19:24Z,SJY182,"-3.010161,108.419479",35000,458,12
1606893623,2020-12-02T07:20:23Z,SJY182,"-2.885971,108.447067",35000,463,12
1606893652,2020-12-02T07:20:52Z,SJY182,"-2.825069,108.460487",35000,463,12
1606893747,2020-12-02T07:22:27Z,SJY182,"-2.626896,108.504051",35000,465,12
1606893810,2020-12-02T07:23:30Z,SJY182,"-2.493012,108.533417",35000,468,12
1606893873,2020-12-02T07:24:33Z,SJY182,"-2.357871,108.563057",35000,468,12
1606893935,2020-12-02T07:25:35Z,SJY182,"-2.226221,108.591705",35000,468,12
1606893998,2020-12-02T07:26:38Z,SJY182,"-2.09166,108.621223",35000,467,12
1606894061,2020-12-02T07:27:41Z,SJY182,"-1.958266,108.650475",35000,465,12
1606894124,2020-12-02T07:28:44Z,SJY182,"-1.826477,108.679321",35000,463,12
1606894190,2020-12-02T07:29:50Z,SJY182,"-1.688589,108.709671",34525,460,12
1606894257,2020-12-02T07:30:57Z,SJY182,"-1.549072,108.740067",31925,456,12
1606894320,2020-12-02T07:32:00Z,SJY182,"-1.420402,108.76815",29525,444,12
1606894387,2020-12-02T07:33:07Z,SJY182,"-1.287495,108.797607",26875,437,12
1606894450,2020-12-02T07:34:10Z,SJY182,"-1.162674,108.824516",24575,423,12
1606894475,2020-12-02T07:34:35Z,SJY182,"-1.115718,108.834732",23675,417,12
1606894562,2020-12-02T07:36:02Z,SJY182,"-0.952086,108.870674",20800,407,12
1606894571,2020-12-02T07:36:11Z,SJY182,"-0.93584,108.874184",20475,407,12
1606894660,2020-12-02T07:37:40Z,SJY182,"-0.77961,108.925652",17275,394,21
1606894673,2020-12-02T07:37:53Z,SJY182,"-0.75769,108.934334",16800,389,21
1606894732,2020-12-02T07:38:52Z,SJY182,"-0.660004,108.973717",14725,377,21
1606894763,2020-12-02T07:39:23Z,SJY182,"-0.610905,108.99408",13675,371,23
1606894793,2020-12-02T07:39:53Z,SJY182,"-0.56282,109.014961",12650,366,23
