Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1606978527,2020-12-03T06:55:27Z,SJY183,"-6.118721,106.649422",0,19,70
1606978534,2020-12-03T06:55:34Z,SJY183,"-6.118469,106.650047",0,21,67
1606978541,2020-12-03T06:55:41Z,SJY183,"-6.118221,106.650658",0,22,67
1606978552,2020-12-03T06:55:52Z,SJY183,"-6.117767,106.651802",0,25,67
1606978560,2020-12-03T06:56:00Z,SJY183,"-6.117405,106.652702",0,27,67
1606978574,2020-12-03T06:56:14Z,SJY183,"-6.116787,106.654274",0,29,67
1606978580,2020-12-03T06:56:20Z,SJY183,"-6.116417,106.655182",0,29,67
1606978592,2020-12-03T06:56:32Z,SJY183,"-6.115893,106.656502",0,29,67
1606978598,2020-12-03T06:56:38Z,SJY183,"-6.115602,106.657249",0,29,70
1606978604,2020-12-03T06:56:44Z,SJY183,"-6.115311,106.657974",0,29,67
1606978612,2020-12-03T06:56:52Z,SJY183,"-6.114876,106.659065",0,29,67
1606978622,2020-12-03T06:57:02Z,SJY183,"-6.114427,106.66021",0,24,67
1606978632,2020-12-03T06:57:12Z,SJY183,"-6.114124,106.660965",0,16,67
1606978642,2020-12-03T06:57:22Z,SJY183,"-6.113868,106.661598",0,15,67
1606978670,2020-12-03T06:57:50Z,SJY183,"-6.113158,106.663383",0,16,67
1606978680,2020-12-03T06:58:00Z,SJY183,"-6.112885,106.664062",0,16,67
1606978697,2020-12-03T06:58:17Z,SJY183,"-6.112367,106.665352",0,20,67
1606978724,2020-12-03T06:58:44Z,SJY183,"-6.111385,106.667809",0,21,67
1606978734,2020-12-03T06:58:54Z,SJY183,"-6.111076,106.66861",0,16,67
1606978740,2020-12-03T06:59:00Z,SJY183,"-6.110985,106.668846",0,7,67
1606978842,2020-12-03T07:00:42Z,SJY183,"-6.110889,106.669067",0,2,67
1606978862,2020-12-03T07:01:02Z,SJY183,"-6.110703,106.669456",0,6,67
1606978873,2020-12-03T07:01:13Z,SJY183,"-6.110458,106.669647",0,7,67
1606978879,2020-12-03T07:01:19Z,SJY183,"-6.110252,106.669731",0,9,16
1606978893,2020-12-03T07:01:33Z,SJY183,"-6.109749,106.669632",0,10,331
1606978900,2020-12-03T07:01:40Z,SJY183,"-6.109497,106.66938",0,10,306
1606978906,2020-12-03T07:01:46Z,SJY183,"-6.109406,106.669121",0,11,284
1606978920,2020-12-03T07:02:00Z,SJY183,"-6.109325,106.668518",0,9,278
1606978927,2020-12-03T07:02:07Z,SJY183,"-6.109306,106.668297",0,7,275
1606978943,2020-12-03T07:02:23Z,SJY183,"-6.109411,106.667908",0,5,275
1606978962,2020-12-03T07:02:42Z,SJY183,"-6.1099,106.666664",0,39,247
1606978982,2020-12-03T07:03:02Z,SJY183,"-6.11285,106.659279",0,120,247
1606978994,2020-12-03T07:03:14Z,SJY183,"-6.115448,106.652748",0,155,247
1606979016,2020-12-03T07:03:36Z,SJY183,"-6.122131,106.636375",775,171,246
1606979028,2020-12-03T07:03:48Z,SJY183,"-6.125885,106.62748",1175,177,247
1606979039,2020-12-03T07:03:59Z,SJY183,"-6.128137,106.617722",1600,181,264
1606979070,2020-12-03T07:04:30Z,SJY183,"-6.117599,106.590706",2250,226,294
1606979083,2020-12-03T07:04:43Z,SJY183,"-6.112427,106.57795",2875,230,291
1606979090,2020-12-03T07:04:50Z,SJY183,"-6.10968,106.570549",3325,230,290
1606979098,2020-12-03T07:04:58Z,SJY183,"-6.106796,106.562683",3750,230,290
1606979104,2020-12-03T07:05:04Z,SJY183,"-6.104645,106.556633",4100,231,289
1606979121,2020-12-03T07:05:21Z,SJY183,"-6.098669,106.539726",5025,231,289
1606979146,2020-12-03T07:05:46Z,SJY183,"-6.0867,106.514175",6275,238,308
1606979158,2020-12-03T07:05:58Z,SJY183,"-6.076091,106.505539",6825,244,325
1606979166,2020-12-03T07:06:06Z,SJY183,"-6.068131,106.501938",7175,248,337
1606979172,2020-12-03T07:06:12Z,SJY183,"-6.061055,106.500137",7450,253,348
1606979179,2020-12-03T07:06:19Z,SJY183,"-6.052769,106.499664",7800,257,359
1606979201,2020-12-03T07:06:41Z,SJY183,"-6.028328,106.508713",8775,271,34
1606979209,2020-12-03T07:06:49Z,SJY183,"-6.021423,106.515572",9150,275,48
1606979218,2020-12-03T07:06:58Z,SJY183,"-6.015108,106.525375",9625,276,59
