Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1607151088,2020-12-05T06:51:28Z,SJY182,"-6.122736,106.647705",0,8,354
1607151102,2020-12-05T06:51:42Z,SJY182,"-6.122131,106.647499",0,11,337
1607151109,2020-12-05T06:51:49Z,SJY182,"-6.121794,106.647354",0,13,337
1607151122,2020-12-05T06:52:02Z,SJY182,"-6.120975,106.647034",0,14,340
1607151133,2020-12-05T06:52:13Z,SJY182,"-6.120327,106.646774",0,13,340
1607151140,2020-12-05T06:52:20Z,SJY182,"-6.119957,106.646729",0,11,16
1607151149,2020-12-05T06:52:29Z,SJY182,"-6.119682,106.647018",0,11,67
1607151156,2020-12-05T06:52:36Z,SJY182,"-6.119545,106.647362",0,13,67
1607151164,2020-12-05T06:52:44Z,SJY182,"-6.119338,106.647873",0,15,67
1607151179,2020-12-05T06:52:59Z,SJY182,"-6.118904,106.648964",0,18,67
1607151191,2020-12-05T06:53:11Z,SJY182,"-6.118492,106.650002",0,21,67
1607151210,2020-12-05T06:53:30Z,SJY182,"-6.117702,106.65197",0,25,67
1607151243,2020-12-05T06:54:03Z,SJY182,"-6.116055,106.656113",0,29,67
1607151250,2020-12-05T06:54:10Z,SJY182,"-6.115719,106.656944",0,29,67
1607151256,2020-12-05T06:54:16Z,SJY182,"-6.115439,106.657661",0,29,67
1607151265,2020-12-05T06:54:25Z,SJY182,"-6.114962,106.658852",0,29,67
1607151274,2020-12-05T06:54:34Z,SJY182,"-6.114498,106.659996",0,29,67
1607151280,2020-12-05T06:54:40Z,SJY182,"-6.114166,106.660828",0,29,67
1607151286,2020-12-05T06:54:46Z,SJY182,"-6.113915,106.661469",0,28,67
1607151292,2020-12-05T06:54:52Z,SJY182,"-6.113612,106.662231",0,21,67
1607151298,2020-12-05T06:54:58Z,SJY182,"-6.113411,106.662735",0,19,67
1607151304,2020-12-05T06:55:04Z,SJY182,"-6.113216,106.663231",0,19,67
1607151310,2020-12-05T06:55:10Z,SJY182,"-6.113019,106.663727",0,19,67
1607151316,2020-12-05T06:55:16Z,SJY182,"-6.112809,106.664246",0,20,67
1607151322,2020-12-05T06:55:22Z,SJY182,"-6.112611,106.664734",0,17,67
1607151328,2020-12-05T06:55:28Z,SJY182,"-6.112437,106.665184",0,16,67
1607151334,2020-12-05T06:55:34Z,SJY182,"-6.112262,106.665596",0,16,67
1607151350,2020-12-05T06:55:50Z,SJY182,"-6.111878,106.666588",0,13,67
1607151359,2020-12-05T06:55:59Z,SJY182,"-6.111671,106.667107",0,14,67
