Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1608188761,2020-12-17T07:06:01Z,SJY182,"-6.125157,106.649345",0,3,233
1608188796,2020-12-17T07:06:36Z,SJY182,"-6.12532,106.649048",0,3,246
1608188817,2020-12-17T07:06:57Z,SJY182,"-6.12539,106.648819",0,3,255
1608188842,2020-12-17T07:07:22Z,SJY182,"-6.125507,106.648613",0,2,214
1608188920,2020-12-17T07:08:40Z,SJY182,"-6.125713,106.648651",0,0,180
1608188968,2020-12-17T07:09:28Z,SJY182,"-6.125495,106.64856",0,6,335
1608188976,2020-12-17T07:09:36Z,SJY182,"-6.125267,106.648476",0,8,337
1608188986,2020-12-17T07:09:46Z,SJY182,"-6.124889,106.648323",0,10,337
1608188992,2020-12-17T07:09:52Z,SJY182,"-6.124587,106.648209",0,12,337
1608188998,2020-12-17T07:09:58Z,SJY182,"-6.124237,106.648056",0,13,337
1608189006,2020-12-17T07:10:06Z,SJY182,"-6.123796,106.647873",0,14,337
1608189014,2020-12-17T07:10:14Z,SJY182,"-6.12333,106.647758",0,13,348
1608189028,2020-12-17T07:10:28Z,SJY182,"-6.122463,106.647636",0,14,345
1608189053,2020-12-17T07:10:53Z,SJY182,"-6.120781,106.646965",0,15,337
1608189070,2020-12-17T07:11:10Z,SJY182,"-6.119792,106.646927",0,12,39
1608189076,2020-12-17T07:11:16Z,SJY182,"-6.119629,106.647202",0,12,64
1608189086,2020-12-17T07:11:26Z,SJY182,"-6.119408,106.647743",0,13,67
1608189092,2020-12-17T07:11:32Z,SJY182,"-6.119282,106.648071",0,13,67
1608189098,2020-12-17T07:11:38Z,SJY182,"-6.119144,106.648422",0,14,67
1608189106,2020-12-17T07:11:46Z,SJY182,"-6.118954,106.648918",0,15,67
1608189112,2020-12-17T07:11:52Z,SJY182,"-6.118791,106.649315",0,16,67
1608189118,2020-12-17T07:11:58Z,SJY182,"-6.118629,106.649712",0,16,67
1608189124,2020-12-17T07:12:04Z,SJY182,"-6.118458,106.650154",0,17,67
1608189130,2020-12-17T07:12:10Z,SJY182,"-6.118291,106.650574",0,17,67
1608189136,2020-12-17T07:12:16Z,SJY182,"-6.118103,106.651024",0,18,67
1608189142,2020-12-17T07:12:22Z,SJY182,"-6.117931,106.651466",0,18,67
1608189148,2020-12-17T07:12:28Z,SJY182,"-6.117771,106.651855",0,18,67
1608189154,2020-12-17T07:12:34Z,SJY182,"-6.117599,106.652321",0,18,67
1608189160,2020-12-17T07:12:40Z,SJY182,"-6.11736,106.652885",0,19,67
1608189168,2020-12-17T07:12:48Z,SJY182,"-6.117104,106.653542",0,19,67
1608189176,2020-12-17T07:12:56Z,SJY182,"-6.116883,106.654091",0,20,67
1608189190,2020-12-17T07:13:10Z,SJY182,"-6.116394,106.655334",0,18,67
1608189203,2020-12-17T07:13:23Z,SJY182,"-6.116021,106.656265",0,18,67
1608189209,2020-12-17T07:13:29Z,SJY182,"-6.115847,106.656693",0,17,67
1608189221,2020-12-17T07:13:41Z,SJY182,"-6.115551,106.657417",0,13,67
1608189228,2020-12-17T07:13:48Z,SJY182,"-6.115428,106.657738",0,11,67
1608189238,2020-12-17T07:13:58Z,SJY182,"-6.115218,106.658257",0,12,70
1608189254,2020-12-17T07:14:14Z,SJY182,"-6.114904,106.65905",0,13,67
1608189260,2020-12-17T07:14:20Z,SJY182,"-6.114753,106.659431",0,13,67
1608189272,2020-12-17T07:14:32Z,SJY182,"-6.114473,106.660126",0,14,67
1608189282,2020-12-17T07:14:42Z,SJY182,"-6.114253,106.660706",0,14,67
1608189298,2020-12-17T07:14:58Z,SJY182,"-6.113857,106.661674",0,14,67
1608189304,2020-12-17T07:15:04Z,SJY182,"-6.11372,106.662033",0,14,67
1608189310,2020-12-17T07:15:10Z,SJY182,"-6.113577,106.662392",0,14,67
1608189330,2020-12-17T07:15:30Z,SJY182,"-6.11317,106.663406",0,11,67
1608189344,2020-12-17T07:15:44Z,SJY182,"-6.11296,106.663925",0,8,67
1608189355,2020-12-17T07:15:55Z,SJY182,"-6.112885,106.664131",0,2,67
1608189448,2020-12-17T07:17:28Z,SJY182,"-6.112793,106.664352",0,3,67
1608189460,2020-12-17T07:17:40Z,SJY182,"-6.112693,106.664604",0,6,67
1608189472,2020-12-17T07:17:52Z,SJY182,"-6.112565,106.664932",0,7,67
1608189484,2020-12-17T07:18:04Z,SJY182,"-6.112427,106.66526",0,7,67
1608189496,2020-12-17T07:18:16Z,SJY182,"-6.112278,106.665634",0,7,67
1608189510,2020-12-17T07:18:30Z,SJY182,"-6.112129,106.666",0,7,67
1608189523,2020-12-17T07:18:43Z,SJY182,"-6.112015,106.666298",0,5,67
1608189542,2020-12-17T07:19:02Z,SJY182,"-6.112106,106.666084",0,1,67
1608189580,2020-12-17T07:19:40Z,SJY182,"-6.111937,106.666496",0,1,67
1608189628,2020-12-17T07:20:28Z,SJY182,"-6.111657,106.667198",0,5,67
