Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1608805200,2020-12-24T10:20:00Z,SJY182,"-6.121305,106.649818",0,5,59
1608805216,2020-12-24T10:20:16Z,SJY182,"-6.121014,106.65004",0,5,14
1608805224,2020-12-24T10:20:24Z,SJY182,"-6.120792,106.65007",0,7,8
1608805234,2020-12-24T10:20:34Z,SJY182,"-6.120479,106.650108",0,9,8
1608805241,2020-12-24T10:20:41Z,SJY182,"-6.120129,106.650154",0,11,8
1608805250,2020-12-24T10:20:50Z,SJY182,"-6.119699,106.650185",0,12,4
1608805256,2020-12-24T10:20:56Z,SJY182,"-6.119361,106.650139",0,12,345
1608805276,2020-12-24T10:21:16Z,SJY182,"-6.118412,106.650284",0,12,61
1608805282,2020-12-24T10:21:22Z,SJY182,"-6.118263,106.650627",0,14,67
1608805296,2020-12-24T10:21:36Z,SJY182,"-6.11792,106.651505",0,17,70
1608805308,2020-12-24T10:21:48Z,SJY182,"-6.117558,106.652405",0,19,67
1608805314,2020-12-24T10:21:54Z,SJY182,"-6.117348,106.652931",0,20,67
1608805322,2020-12-24T10:22:02Z,SJY182,"-6.117057,106.653648",0,22,67
1608805338,2020-12-24T10:22:18Z,SJY182,"-6.116432,106.655235",0,25,70
1608805346,2020-12-24T10:22:26Z,SJY182,"-6.116138,106.655983",0,26,67
1608805352,2020-12-24T10:22:32Z,SJY182,"-6.115849,106.656693",0,27,67
1608805358,2020-12-24T10:22:38Z,SJY182,"-6.115568,106.657379",0,28,67
1608805364,2020-12-24T10:22:44Z,SJY182,"-6.115276,106.658104",0,29,67
1608805370,2020-12-24T10:22:50Z,SJY182,"-6.114962,106.658875",0,30,67
1608805376,2020-12-24T10:22:56Z,SJY182,"-6.114658,106.659637",0,31,67
1608805382,2020-12-24T10:23:02Z,SJY182,"-6.114338,106.660431",0,31,67
1608805388,2020-12-24T10:23:08Z,SJY182,"-6.114017,106.661278",0,32,67
1608805394,2020-12-24T10:23:14Z,SJY182,"-6.113624,106.662247",0,33,67
1608805400,2020-12-24T10:23:20Z,SJY182,"-6.113286,106.663101",0,33,67
1608805412,2020-12-24T10:23:32Z,SJY182,"-6.112681,106.664612",0,32,67
1608805437,2020-12-24T10:23:57Z,SJY182,"-6.111523,106.667519",0,20,67
1608805444,2020-12-24T10:24:04Z,SJY182,"-6.11134,106.667992",0,16,67
1608805452,2020-12-24T10:24:12Z,SJY182,"-6.111145,106.66848",0,12,67
1608805488,2020-12-24T10:24:48Z,SJY182,"-6.11104,106.668755",0,1,67
1608805504,2020-12-24T10:25:04Z,SJY182,"-6.11095,106.668968",0,4,67
1608805528,2020-12-24T10:25:28Z,SJY182,"-6.11068,106.669525",0,7,53
1608805538,2020-12-24T10:25:38Z,SJY182,"-6.110447,106.669678",0,5,19
1608805646,2020-12-24T10:27:26Z,SJY182,"-6.110226,106.669731",0,5,5
1608805668,2020-12-24T10:27:48Z,SJY182,"-6.109531,106.669357",0,12,300
1608805692,2020-12-24T10:28:12Z,SJY182,"-6.109143,106.668579",0,3,244
1608805724,2020-12-24T10:28:44Z,SJY182,"-6.109353,106.668068",0,26,247
1608805734,2020-12-24T10:28:54Z,SJY182,"-6.110229,106.665878",0,74,247
1608805750,2020-12-24T10:29:10Z,SJY182,"-6.113216,106.658348",0,140,247
1608805762,2020-12-24T10:29:22Z,SJY182,"-6.116266,106.650299",500,154,249
1608805770,2020-12-24T10:29:30Z,SJY182,"-6.118035,106.645424",850,152,250
1608805777,2020-12-24T10:29:37Z,SJY182,"-6.119804,106.640121",1275,150,253
1608805784,2020-12-24T10:29:44Z,SJY182,"-6.120874,106.63562",1650,148,257
1608805790,2020-12-24T10:29:50Z,SJY182,"-6.121247,106.632072",1875,153,266
1608805810,2020-12-24T10:30:10Z,SJY182,"-6.116913,106.615654",2500,193,289
1608805817,2020-12-24T10:30:17Z,SJY182,"-6.114636,106.609055",2725,207,289
1608805826,2020-12-24T10:30:26Z,SJY182,"-6.111969,106.60141",3075,218,288
1608805832,2020-12-24T10:30:32Z,SJY182,"-6.110121,106.59584",3350,223,289
1608805840,2020-12-24T10:30:40Z,SJY182,"-6.105377,106.587257",3800,235,306
1608805849,2020-12-24T10:30:49Z,SJY182,"-6.098694,106.581627",4175,245,327
1608805857,2020-12-24T10:30:57Z,SJY182,"-6.08866,106.577988",4700,254,347
1608805864,2020-12-24T10:31:04Z,SJY182,"-6.081619,106.577438",5050,260,359
1608805884,2020-12-24T10:31:24Z,SJY182,"-6.057816,106.586327",6275,273,38
1608805890,2020-12-24T10:31:30Z,SJY182,"-6.052551,106.591919",6600,277,51
1608805897,2020-12-24T10:31:37Z,SJY182,"-6.04866,106.598618",6900,280,64
1608805903,2020-12-24T10:31:43Z,SJY182,"-6.045925,106.605789",7200,283,71
1608805910,2020-12-24T10:31:50Z,SJY182,"-6.042946,106.614456",7550,286,70
1608805916,2020-12-24T10:31:56Z,SJY182,"-6.04006,106.621986",7850,289,69
1608805922,2020-12-24T10:32:02Z,SJY182,"-6.036848,106.631027",8225,292,70
1608805937,2020-12-24T10:32:17Z,SJY182,"-6.030284,106.650108",9000,297,71
1608805949,2020-12-24T10:32:29Z,SJY182,"-6.024837,106.665878",9625,300,70
1608805961,2020-12-24T10:32:41Z,SJY182,"-6.019043,106.682457",10325,302,70
1608805980,2020-12-24T10:33:00Z,SJY182,"-6.010266,106.706894",11000,317,70
1608805991,2020-12-24T10:33:11Z,SJY182,"-6.004726,106.722137",11250,331,70
1608806002,2020-12-24T10:33:22Z,SJY182,"-5.998349,106.739708",11750,337,69
1608806012,2020-12-24T10:33:32Z,SJY182,"-5.992856,106.754814",12275,339,70
1608806046,2020-12-24T10:34:06Z,SJY182,"-5.974933,106.804298",13925,346,70
1608806073,2020-12-24T10:34:33Z,SJY182,"-5.958206,106.84549",15025,358,60
1608806080,2020-12-24T10:34:40Z,SJY182,"-5.952026,106.854843",15325,361,54
1608806088,2020-12-24T10:34:48Z,SJY182,"-5.942734,106.866249",15675,366,47
1608806094,2020-12-24T10:34:54Z,SJY182,"-5.936142,106.872902",15925,367,44
1608806100,2020-12-24T10:35:00Z,SJY182,"-5.928268,106.879845",16150,370,40
1608806107,2020-12-24T10:35:07Z,SJY182,"-5.919479,106.8871",16400,373,39
1608806144,2020-12-24T10:35:44Z,SJY182,"-5.867909,106.93045",17850,386,40
1608806176,2020-12-24T10:36:16Z,SJY182,"-5.824523,106.967102",19200,387,40
1608806237,2020-12-24T10:37:17Z,SJY182,"-5.741939,107.036858",21650,389,40
1608806293,2020-12-24T10:38:13Z,SJY182,"-5.659681,107.100365",23525,400,29
1608806299,2020-12-24T10:38:19Z,SJY182,"-5.650269,107.105339",23725,402,27
1608806305,2020-12-24T10:38:25Z,SJY182,"-5.640269,107.110069",23875,404,24
1608806311,2020-12-24T10:38:31Z,SJY182,"-5.628616,107.114929",24075,407,21
1608806376,2020-12-24T10:39:36Z,SJY182,"-5.51239,107.158707",25750,424,20
1608806438,2020-12-24T10:40:38Z,SJY182,"-5.397491,107.201752",27500,431,20
1608806499,2020-12-24T10:41:39Z,SJY182,"-5.283051,107.244392",28950,439,20
1608806560,2020-12-24T10:42:40Z,SJY182,"-5.164124,107.289223",30125,450,20
1608806620,2020-12-24T10:43:40Z,SJY182,"-5.045288,107.333679",31575,451,20
1608806682,2020-12-24T10:44:42Z,SJY182,"-4.926018,107.378433",32900,438,20
1608806745,2020-12-24T10:45:45Z,SJY182,"-4.80717,107.422897",34275,427,20
1608806806,2020-12-24T10:46:46Z,SJY182,"-4.694746,107.464851",35000,431,20
1608806868,2020-12-24T10:47:48Z,SJY182,"-4.577528,107.508652",34975,432,20
1608806928,2020-12-24T10:48:48Z,SJY182,"-4.463755,107.551086",35000,431,20
1608806991,2020-12-24T10:49:51Z,SJY182,"-4.347746,107.59446",35000,429,20
1608807051,2020-12-24T10:50:51Z,SJY182,"-4.233787,107.637131",35000,429,20
1608807113,2020-12-24T10:51:53Z,SJY182,"-4.121409,107.67894",35000,428,20
1608807176,2020-12-24T10:52:56Z,SJY182,"-4.001863,107.72374",35000,430,20
1608807239,2020-12-24T10:53:59Z,SJY182,"-3.883987,107.767639",35000,432,20
1608807294,2020-12-24T10:54:54Z,SJY182,"-3.776178,107.796761",34975,437,4
1608807300,2020-12-24T10:55:00Z,SJY182,"-3.764603,107.797058",34975,438,359
1608807307,2020-12-24T10:55:07Z,SJY182,"-3.750778,107.796173",34975,439,357
1608807313,2020-12-24T10:55:13Z,SJY182,"-3.739448,107.794441",34975,440,350
1608807320,2020-12-24T10:55:20Z,SJY182,"-3.726105,107.7911",34975,441,344
1608807326,2020-12-24T10:55:26Z,SJY182,"-3.71228,107.786118",35000,441,341
1608807333,2020-12-24T10:55:33Z,SJY182,"-3.700437,107.780563",34975,439,333
1608807341,2020-12-24T10:55:41Z,SJY182,"-3.687217,107.772705",34975,436,327
1608807350,2020-12-24T10:55:50Z,SJY182,"-3.671715,107.7621",34975,436,326
1608807356,2020-12-24T10:55:56Z,SJY182,"-3.662018,107.755257",34950,433,324
1608807420,2020-12-24T10:57:00Z,SJY182,"-3.557053,107.679657",34975,429,323
1608807492,2020-12-24T10:58:12Z,SJY182,"-3.438538,107.602051",34975,424,341
1608807498,2020-12-24T10:58:18Z,SJY182,"-3.426524,107.599243",34975,422,348
1608807506,2020-12-24T10:58:26Z,SJY182,"-3.413303,107.598061",35000,419,356
1608807530,2020-12-24T10:58:50Z,SJY182,"-3.366531,107.607872",35000,422,22
1608807537,2020-12-24T10:58:57Z,SJY182,"-3.355087,107.613594",35025,423,27
1608807596,2020-12-24T10:59:56Z,SJY182,"-3.249527,107.66774",34975,428,27
1608807661,2020-12-24T11:01:01Z,SJY182,"-3.136185,107.725838",34975,428,27
1608807669,2020-12-24T11:01:09Z,SJY182,"-3.12156,107.733353",34975,427,27
1608807760,2020-12-24T11:02:40Z,SJY182,"-2.964111,107.814377",34975,417,27
1608807822,2020-12-24T11:03:42Z,SJY182,"-2.856399,107.86969",34975,419,27
1608807839,2020-12-24T11:03:59Z,SJY182,"-2.828247,107.884254",34975,419,27
1608807901,2020-12-24T11:05:01Z,SJY182,"-2.721304,107.939255",34975,420,27
1608808000,2020-12-24T11:06:40Z,SJY182,"-2.546997,108.028702",34975,421,27
1608809609,2020-12-24T11:33:29Z,SJY182,"-0.036776,109.354454",2200,191,139
