Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1609742770,2021-01-04T06:46:10Z,SJY182,"-6.121525,106.649231",0,10,67
1609742778,2021-01-04T06:46:18Z,SJY182,"-6.121387,106.649582",0,11,67
1609742784,2021-01-04T06:46:24Z,SJY182,"-6.121247,106.649849",0,11,53
1609742790,2021-01-04T06:46:30Z,SJY182,"-6.121003,106.65004",0,12,25
1609742796,2021-01-04T06:46:36Z,SJY182,"-6.120711,106.650101",0,12,5
1609742807,2021-01-04T06:46:47Z,SJY182,"-6.12006,106.650185",0,13,8
1609742824,2021-01-04T06:47:04Z,SJY182,"-6.119225,106.65065",0,13,67
1609742830,2021-01-04T06:47:10Z,SJY182,"-6.119087,106.650993",0,13,70
1609742838,2021-01-04T06:47:18Z,SJY182,"-6.118904,106.651443",0,14,67
1609742844,2021-01-04T06:47:24Z,SJY182,"-6.118756,106.651794",0,13,67
1609742892,2021-01-04T06:48:12Z,SJY182,"-6.117267,106.653091",0,12,67
1609742904,2021-01-04T06:48:24Z,SJY182,"-6.117022,106.653725",0,13,67
1609742916,2021-01-04T06:48:36Z,SJY182,"-6.116755,106.654411",0,14,67
1609742925,2021-01-04T06:48:45Z,SJY182,"-6.116535,106.654938",0,15,67
1609742931,2021-01-04T06:48:51Z,SJY182,"-6.116386,106.655319",0,15,67
1609742941,2021-01-04T06:49:01Z,SJY182,"-6.116126,106.655945",0,16,67
1609742950,2021-01-04T06:49:10Z,SJY182,"-6.115882,106.656563",0,17,67
1609742956,2021-01-04T06:49:16Z,SJY182,"-6.115723,106.656982",0,17,67
1609742962,2021-01-04T06:49:22Z,SJY182,"-6.115551,106.657402",0,18,67
1609742970,2021-01-04T06:49:30Z,SJY182,"-6.115265,106.658112",0,19,67
1609742980,2021-01-04T06:49:40Z,SJY182,"-6.114967,106.658844",0,19,67
1609742986,2021-01-04T06:49:46Z,SJY182,"-6.114784,106.659325",0,20,67
1609742992,2021-01-04T06:49:52Z,SJY182,"-6.114578,106.659821",0,20,67
1609742998,2021-01-04T06:49:58Z,SJY182,"-6.114372,106.660347",0,20,67
1609743004,2021-01-04T06:50:04Z,SJY182,"-6.114166,106.660858",0,20,67
